"shared_at","x_account","x_post_id","x_post_url","share_type","arxiv_id","arxiv_url","post_text","first_seen_at"
"2026-08-10T21:23:26.000Z","fly51fly","2086926419708485994","https://x.com/fly51fly/status/2086926419708485994","post","2608.07418","https://arxiv.org/abs/2608.07418","[AI] ResidencyRL: Reinforcement Learning in Simulated Clinical Environments V Liévin, S Schmidgall, T Strother, A Bijamov… [Google DeepMind] (2026) https://t.co/Zdr6OkH7UT https://t.co/WcVwSKuji5","2026-08-27T19:25:18.950Z"
"2026-08-10T13:49:55.000Z","che_shr_cat","2086812290393813250","https://x.com/che_shr_cat/status/2086812290393813250","replied_to","2606.03811","https://arxiv.org/abs/2606.03811","9/ Read my full technical breakdown: https://t.co/vSyAFNEmPQ Read the arXiv paper: https://t.co/mIBmP2UWzE Are corporate subnets ready for decentralized, open-weight attack agents? Let us know your thoughts below.","2026-08-27T19:25:18.950Z"
"2026-08-10T06:57:38.000Z","rosinality","2086708534989778961","https://x.com/rosinality/status/2086708534989778961","post","2608.07222","https://arxiv.org/abs/2608.07222","https://t.co/iJw85iDeBz Simple scaling law formulation that considers the interaction between N and D, and efficient experiment sampling strategy for parameter estimation. https://t.co/C9BWjhiHpH","2026-08-27T19:25:18.950Z"
"2026-08-10T06:34:19.000Z","rosinality","2086702668064436251","https://x.com/rosinality/status/2086702668064436251","post","2608.07110","https://arxiv.org/abs/2608.07110","https://t.co/33z8KT1Rh9 Ablations on Test Time Training based on the framework for expressing TTT. https://t.co/hpvevVAxRK","2026-08-27T19:25:18.950Z"
"2026-08-09T22:00:09.000Z","fly51fly","2086573271949140406","https://x.com/fly51fly/status/2086573271949140406","post","2608.01692","https://arxiv.org/abs/2608.01692","[LG] Beckmann Transport Models: From Autonomous Flows to One-Step Maps L Cheuk-Kit, F Coeurdoux, P Potaptchik, Y Du… [Harvard University &amp; Capital Fund Management &amp; University of Oxford] (2026) https://t.co/vRFnWjjr2x https://t.co/ffcISh7vDL","2026-08-27T19:25:18.950Z"
"2026-08-09T21:53:06.000Z","fly51fly","2086571497855049985","https://x.com/fly51fly/status/2086571497855049985","post","2608.05987","https://arxiv.org/abs/2608.05987","[AI] AgentOPSD: Recursive Self-Distillation for Agentic Reinforcement Learning Z Wang, Z Lu, Z Yao, J Wu… [Tsinghua University &amp; Zhejiang University] (2026) https://t.co/6pCwfRq6ka https://t.co/e6SQCf9TV1","2026-08-27T19:25:18.950Z"
"2026-08-09T21:44:10.000Z","fly51fly","2086569250727301336","https://x.com/fly51fly/status/2086569250727301336","post","2608.05004","https://arxiv.org/abs/2608.05004","[CL] DelusionEval: Measuring Delusion-Linked Behaviors in AI Chatbots J Moore, A Mock, Y Mai, J R Anthis… [Stanford University] (2026) https://t.co/2C49VBnVLs https://t.co/DcrYz3jV1Q","2026-08-27T19:25:18.950Z"
"2026-08-09T21:32:46.000Z","fly51fly","2086566381609455779","https://x.com/fly51fly/status/2086566381609455779","post","2608.01964","https://arxiv.org/abs/2608.01964","[CV] LongHorizon-Harness: Advancing Long-Horizon Agents for Real-World Tasks Z Ma, H Huang, S Zou, Y Wang,… [DreamX Team, Alibaba Group] (2026) https://t.co/LpmJ0zX0PR https://t.co/DvYOTCubpN","2026-08-27T19:25:18.950Z"
"2026-08-09T21:20:34.000Z","fly51fly","2086563309818630366","https://x.com/fly51fly/status/2086563309818630366","post","2608.01604","https://arxiv.org/abs/2608.01604","[AI] Post-Training on Office Work Improves Software Engineering: A Behavioral Account of Cross-Domain Transfer L Ritchie, S Mehta, L Panavas, E Chen [Surge AI] (2026) https://t.co/phDsPT7x3a https://t.co/qepLJBrzAe","2026-08-27T19:25:18.950Z"
"2026-08-09T17:06:16.000Z","che_shr_cat","2086499316336627899","https://x.com/che_shr_cat/status/2086499316336627899","replied_to","2607.03580","https://arxiv.org/abs/2607.03580","10/ Read my complete technical breakdown here: https://t.co/95NuDRkP56 Original paper by Faramarzi et al.: https://t.co/N0rVSBVhCg Follow for weekly deep dives into ML research. #MachineLearning","2026-08-27T19:25:18.950Z"
"2026-08-08T22:08:01.000Z","fly51fly","2086212862926868961","https://x.com/fly51fly/status/2086212862926868961","post","2608.02580","https://arxiv.org/abs/2608.02580","[RO] Ego2Robot: Scalable Robot Data Synthesis from Egocentric Human Data Y Wang, P Lin, X Chen, H Yuan… [Qwen Team &amp; Renmin University of China] (2026) https://t.co/Sj7Wvo2BUl https://t.co/d9MVMs5qRm","2026-08-27T19:25:18.950Z"
"2026-08-08T21:54:18.000Z","fly51fly","2086209414286238161","https://x.com/fly51fly/status/2086209414286238161","post","2608.02437","https://arxiv.org/abs/2608.02437","[CV] InfiniSplat: Implicit Gaussian Decoding for Large-Baseline Monocular View Synthesis J Wang, H Yu, Y Hu, X Yang… [Zhejiang University] (2026) https://t.co/KsHNEd8tNW https://t.co/4fRpXC4hP3","2026-08-27T19:25:18.950Z"
"2026-08-08T21:44:59.000Z","fly51fly","2086207069942943899","https://x.com/fly51fly/status/2086207069942943899","post","2608.02670","https://arxiv.org/abs/2608.02670","[AI] Permission Denied: Policy-Graded Evaluation of Coding Agents in Hardened Environments D Davidovich, Y Amar, H Rozencwajg, O Hiltch [Accomplish AI] (2026) https://t.co/Tca4wWQH7R https://t.co/v1BMxzfqzX","2026-08-27T19:25:18.950Z"
"2026-08-08T21:40:07.000Z","fly51fly","2086205843410997601","https://x.com/fly51fly/status/2086205843410997601","post","2608.02711","https://arxiv.org/abs/2608.02711","[CV] Hunyuan3D-Buffalo 1.0: A Unified Multimodal Model for Scalable 3D Generation, Understanding, and Editing J Ye, K Liu, G Wang, Y Li… [Tencent Hunyuan] (2026) https://t.co/bspOBDVq7p https://t.co/BINq4ug2Q2","2026-08-27T19:25:18.950Z"
"2026-08-08T21:11:37.000Z","fly51fly","2086198670572355787","https://x.com/fly51fly/status/2086198670572355787","post","2608.04205","https://arxiv.org/abs/2608.04205","[AI] MatrAIx: Simulating the World with 8.3 Billion Persona Agents X Li, Y Hao, J Hou, J Huang… [MatrAIx] (2026) https://t.co/iMvSI7EWCj https://t.co/3xoK0hQBxv","2026-08-27T19:25:18.950Z"
"2026-08-07T22:22:08.000Z","fly51fly","2085854029121503542","https://x.com/fly51fly/status/2085854029121503542","post","2608.05230","https://arxiv.org/abs/2608.05230","[LG] Quality Diversity for Reliable Data Driven Time-Use Optimization A Neumann, T Stanford, D Dumuid, F Neumann [Adelaide University] (2026) https://t.co/GJyKgWtnPS https://t.co/UHM7YwLd93","2026-08-27T19:25:18.950Z"
